Название угрозы,Отрасль компании,Кол-во сотрудников,Регион,Вероятность возникновения угрозы
Denial of Service (DoS),Construction,529,LAC,2
System Intrusion,Manufacturing,2930,APAC,2
Social Engineering,Information,404,EMEA,5
Denial of Service (DoS),Utilities,1946,APAC,1
System Intrusion,Accommodation,2054,APAC,1
Social Engineering,Public Administration,2073,APAC,4
Social Engineering,Transportation,2919,NA,2
Lost and Stolen Assets,Utilities,1701,NA,1
Basic Web-API Attacks,Construction,2892,EMEA,4
Social Engineering,Agriculture,568,APAC,1
Miscellaneous Errors,Healthcare,426,APAC,4
Miscellaneous Errors,Transportation,184,EMEA,3
Social Engineering,Wholesale Trade,2779,APAC,5
Miscellaneous Errors,Retail,2142,APAC,4
Lost and Stolen Assets,Utilities,556,NA,3
Social Engineering,Agriculture,1238,NA,2
Basic Web-API Attacks,Manufacturing,1624,APAC,3
Privilege Misuse,Accommodation,2054,APAC,4
Denial of Service (DoS),Utilities,2157,EMEA,4
Basic Web-API Attacks,Real Estate,953,APAC,3
System Intrusion,Construction,2395,EMEA,4
Social Engineering,Public Administration,2656,EMEA,2
Social Engineering,Transportation,373,NA,3
Privilege Misuse,Public Administration,1692,EMEA,2
Social Engineering,Real Estate,2548,NA,5
Privilege Misuse,Finance,1735,NA,5
Miscellaneous Errors,Entertainment,127,LAC,2
Denial of Service (DoS),Professional,532,NA,4
Basic Web-API Attacks,Retail,1218,APAC,1
System Intrusion,Professional,525,APAC,4
System Intrusion,Finance,2029,APAC,2
Social Engineering,Agriculture,2139,EMEA,5
Social Engineering,Transportation,646,EMEA,5
Social Engineering,Retail,651,APAC,5
Social Engineering,Transportation,2606,EMEA,3
Basic Web-API Attacks,Information,2124,NA,5
Miscellaneous Errors,Transportation,1158,NA,4
Lost and Stolen Assets,Finance,330,NA,4
Basic Web-API Attacks,Wholesale Trade,1059,NA,5
Denial of Service (DoS),Mining,681,EMEA,3
Denial of Service (DoS),Public Administration,764,EMEA,5
System Intrusion,Transportation,2458,NA,1
Basic Web-API Attacks,Utilities,1678,NA,2
Privilege Misuse,Public Administration,2694,NA,4
Privilege Misuse,Information,2967,EMEA,2
Privilege Misuse,Information,2650,APAC,1
Privilege Misuse,Public Administration,156,EMEA,3
Lost and Stolen Assets,Wholesale Trade,2186,APAC,2
Basic Web-API Attacks,Accommodation,1580,EMEA,1
Denial of Service (DoS),Mining,2852,NA,4
Basic Web-API Attacks,Utilities,626,NA,3
Miscellaneous Errors,Entertainment,2273,APAC,5
Social Engineering,Public Administration,1322,APAC,2
Denial of Service (DoS),Manufacturing,1211,APAC,4
Basic Web-API Attacks,Agriculture,349,EMEA,2
Basic Web-API Attacks,Retail,2538,EMEA,4
System Intrusion,Transportation,425,NA,2
Social Engineering,Finance,2239,APAC,3
Denial of Service (DoS),Accommodation,1748,NA,2
Lost and Stolen Assets,Transportation,2967,LAC,1
Denial of Service (DoS),Transportation,2585,NA,3
Miscellaneous Errors,Retail,2531,APAC,2
Lost and Stolen Assets,Transportation,2707,APAC,4
System Intrusion,Retail,557,APAC,4
Lost and Stolen Assets,Public Administration,1125,EMEA,5
Lost and Stolen Assets,Accommodation,2036,EMEA,4
Privilege Misuse,Transportation,1587,NA,3
Denial of Service (DoS),Retail,1337,EMEA,4
Miscellaneous Errors,Public Administration,1118,APAC,4
Privilege Misuse,Public Administration,1283,EMEA,5
System Intrusion,Utilities,2602,APAC,5
Social Engineering,Utilities,880,NA,1
Basic Web-API Attacks,Information,1577,LAC,3
Miscellaneous Errors,Transportation,2512,LAC,4
Social Engineering,Public Administration,2270,NA,2
Denial of Service (DoS),Information,2604,EMEA,1
Basic Web-API Attacks,Accommodation,2334,APAC,5
Privilege Misuse,Accommodation,2546,EMEA,2
Lost and Stolen Assets,Finance,247,EMEA,5
Social Engineering,Transportation,1414,EMEA,3
System Intrusion,Transportation,2533,NA,4
Miscellaneous Errors,Accommodation,2175,NA,1
Privilege Misuse,Transportation,2470,LAC,3
Denial of Service (DoS),Finance,2713,EMEA,3
Privilege Misuse,Retail,1996,NA,4
System Intrusion,Finance,1950,EMEA,5
Privilege Misuse,Agriculture,1655,EMEA,3
Lost and Stolen Assets,Utilities,579,EMEA,3
System Intrusion,Retail,1472,EMEA,2
Social Engineering,Utilities,1720,NA,1
Social Engineering,Public Administration,2885,NA,1
Denial of Service (DoS),Manufacturing,1010,NA,3
Lost and Stolen Assets,Public Administration,2679,APAC,3
Miscellaneous Errors,Entertainment,2081,APAC,4
Denial of Service (DoS),Transportation,701,APAC,3
Basic Web-API Attacks,Wholesale Trade,2033,APAC,2
Denial of Service (DoS),Transportation,2969,APAC,2
Lost and Stolen Assets,Retail,1719,EMEA,4
Basic Web-API Attacks,Transportation,626,LAC,2
Lost and Stolen Assets,Utilities,1220,APAC,1
Miscellaneous Errors,Administrative,1677,APAC,3
Lost and Stolen Assets,Transportation,2362,APAC,1
Privilege Misuse,Utilities,1413,NA,3
System Intrusion,Transportation,2815,APAC,1
Lost and Stolen Assets,Agriculture,2878,NA,1
Denial of Service (DoS),Utilities,1963,EMEA,2
Social Engineering,Retail,1462,EMEA,2
Social Engineering,Information,2761,NA,4
Denial of Service (DoS),Retail,1371,NA,1
Privilege Misuse,Retail,924,EMEA,1
Basic Web-API Attacks,Transportation,882,EMEA,1
Miscellaneous Errors,Entertainment,1906,EMEA,4
Lost and Stolen Assets,Real Estate,1026,NA,2
Miscellaneous Errors,Utilities,958,APAC,4
Social Engineering,Finance,1108,EMEA,3
System Intrusion,Retail,543,EMEA,1
Denial of Service (DoS),Transportation,1062,NA,4
Lost and Stolen Assets,Transportation,2590,EMEA,3
Social Engineering,Manufacturing,2030,EMEA,2
Privilege Misuse,Wholesale Trade,1250,LAC,3
Miscellaneous Errors,Healthcare,2537,EMEA,4
Social Engineering,Agriculture,2223,EMEA,4
Miscellaneous Errors,Retail,361,NA,5
Privilege Misuse,Wholesale Trade,896,APAC,4
Lost and Stolen Assets,Retail,1756,APAC,2
Denial of Service (DoS),Construction,1085,NA,1
Privilege Misuse,Transportation,695,NA,5
Basic Web-API Attacks,Manufacturing,1737,APAC,4
Social Engineering,Agriculture,1449,APAC,2
System Intrusion,Manufacturing,884,EMEA,5
Denial of Service (DoS),Retail,1495,NA,4
Basic Web-API Attacks,Retail,613,NA,2
Social Engineering,Wholesale Trade,2009,EMEA,5
Social Engineering,Public Administration,2412,EMEA,1
Miscellaneous Errors,Retail,1749,NA,5
Denial of Service (DoS),Administrative,1529,NA,3
Miscellaneous Errors,Information,1627,NA,4
System Intrusion,Retail,617,EMEA,5
Privilege Misuse,Professional,2991,EMEA,3
Basic Web-API Attacks,Transportation,303,APAC,3
System Intrusion,Information,2391,EMEA,2
Miscellaneous Errors,Entertainment,2880,LAC,1
Basic Web-API Attacks,Manufacturing,2806,APAC,3
Lost and Stolen Assets,Transportation,1608,APAC,5
Privilege Misuse,Real Estate,2171,NA,4
Miscellaneous Errors,Mining,1293,EMEA,4
System Intrusion,Entertainment,2403,APAC,2
Lost and Stolen Assets,Mining,2848,NA,2
Lost and Stolen Assets,Entertainment,1345,APAC,3
Denial of Service (DoS),Entertainment,1849,NA,5
Basic Web-API Attacks,Public Administration,2402,EMEA,1
Miscellaneous Errors,Entertainment,2389,LAC,2
Basic Web-API Attacks,Transportation,461,APAC,3
Basic Web-API Attacks,Utilities,828,APAC,2
Social Engineering,Wholesale Trade,1400,LAC,3
Denial of Service (DoS),Transportation,2010,NA,3
System Intrusion,Agriculture,1054,EMEA,5
Social Engineering,Transportation,668,NA,2
Social Engineering,Utilities,789,EMEA,2
Social Engineering,Wholesale Trade,423,EMEA,2
Basic Web-API Attacks,Healthcare,413,EMEA,2
Denial of Service (DoS),Public Administration,1652,APAC,1
System Intrusion,Mining,2082,EMEA,3
Lost and Stolen Assets,Retail,2989,NA,4
Basic Web-API Attacks,Manufacturing,1357,NA,2
Basic Web-API Attacks,Agriculture,2114,APAC,1
System Intrusion,Entertainment,1624,NA,3
System Intrusion,Public Administration,1237,NA,5
Basic Web-API Attacks,Transportation,826,EMEA,4
Lost and Stolen Assets,Utilities,1594,APAC,1
Lost and Stolen Assets,Mining,2996,EMEA,1
System Intrusion,Public Administration,2055,NA,1
Lost and Stolen Assets,Finance,530,APAC,2
System Intrusion,Agriculture,970,EMEA,4
Privilege Misuse,Transportation,473,APAC,2
Social Engineering,Finance,2756,APAC,2
Denial of Service (DoS),Utilities,2553,LAC,5
Denial of Service (DoS),Finance,1579,APAC,2
Miscellaneous Errors,Construction,176,LAC,4
Social Engineering,Utilities,2899,EMEA,4
Basic Web-API Attacks,Finance,1313,APAC,2
Miscellaneous Errors,Public Administration,2756,NA,2
Social Engineering,Healthcare,1925,EMEA,1
Miscellaneous Errors,Accommodation,1809,APAC,2
Social Engineering,Real Estate,2919,NA,1
Basic Web-API Attacks,Retail,2055,EMEA,4
Lost and Stolen Assets,Utilities,1307,NA,3
Lost and Stolen Assets,Transportation,1347,NA,3
System Intrusion,Real Estate,544,NA,1
Miscellaneous Errors,Finance,1798,NA,5
Denial of Service (DoS),Retail,526,EMEA,2
Lost and Stolen Assets,Real Estate,2031,APAC,1
Basic Web-API Attacks,Wholesale Trade,2368,EMEA,2
Privilege Misuse,Mining,1431,APAC,1
Lost and Stolen Assets,Utilities,1512,EMEA,2
Social Engineering,Construction,208,NA,1
Social Engineering,Healthcare,1749,APAC,5
Privilege Misuse,Public Administration,2369,EMEA,3
Privilege Misuse,Utilities,793,NA,1
Basic Web-API Attacks,Finance,590,NA,4
Social Engineering,Agriculture,2675,APAC,4
Lost and Stolen Assets,Agriculture,1816,NA,5
Privilege Misuse,Real Estate,1388,NA,5
Denial of Service (DoS),Utilities,1664,EMEA,3
Basic Web-API Attacks,Transportation,1842,EMEA,5
Basic Web-API Attacks,Construction,1548,NA,5
Miscellaneous Errors,Manufacturing,368,EMEA,4
System Intrusion,Professional,2152,APAC,1
Miscellaneous Errors,Utilities,2285,NA,3
Social Engineering,Finance,2832,EMEA,4
Privilege Misuse,Transportation,2298,EMEA,1
System Intrusion,Agriculture,1911,NA,2
System Intrusion,Mining,370,EMEA,5
Denial of Service (DoS),Real Estate,929,EMEA,5
Social Engineering,Entertainment,1971,NA,2
Lost and Stolen Assets,Healthcare,483,NA,1
Miscellaneous Errors,Accommodation,537,NA,5
Privilege Misuse,Public Administration,1829,LAC,4
System Intrusion,Utilities,493,LAC,5
Lost and Stolen Assets,Finance,2388,NA,5
Basic Web-API Attacks,Public Administration,2256,NA,1
Miscellaneous Errors,Healthcare,1271,NA,4
Miscellaneous Errors,Transportation,1149,APAC,2
Lost and Stolen Assets,Accommodation,479,APAC,5
Social Engineering,Accommodation,2401,NA,3
Basic Web-API Attacks,Utilities,1298,APAC,1
Basic Web-API Attacks,Entertainment,1187,NA,2
System Intrusion,Utilities,1751,APAC,3
System Intrusion,Wholesale Trade,122,APAC,2
Denial of Service (DoS),Utilities,991,NA,2
Privilege Misuse,Wholesale Trade,1241,EMEA,1
Denial of Service (DoS),Administrative,1762,EMEA,1
Miscellaneous Errors,Healthcare,219,APAC,1
System Intrusion,Real Estate,1986,NA,5
Basic Web-API Attacks,Transportation,2160,EMEA,4
Lost and Stolen Assets,Entertainment,2129,APAC,2
Social Engineering,Entertainment,2660,EMEA,3
Basic Web-API Attacks,Wholesale Trade,2975,APAC,3
Lost and Stolen Assets,Mining,2899,APAC,3
Lost and Stolen Assets,Wholesale Trade,2167,EMEA,1
System Intrusion,Public Administration,910,EMEA,3
Social Engineering,Information,2350,LAC,5
Denial of Service (DoS),Public Administration,2162,APAC,5
Privilege Misuse,Entertainment,636,EMEA,1
Social Engineering,Information,2537,EMEA,2
Basic Web-API Attacks,Public Administration,1026,NA,5
Basic Web-API Attacks,Transportation,1936,NA,2
Social Engineering,Information,211,APAC,4
Denial of Service (DoS),Agriculture,894,NA,1
Miscellaneous Errors,Finance,1749,NA,1
Social Engineering,Utilities,2567,NA,3
Social Engineering,Utilities,2123,NA,1
Miscellaneous Errors,Public Administration,2335,APAC,3
Lost and Stolen Assets,Entertainment,282,APAC,4
System Intrusion,Utilities,1364,NA,5
Basic Web-API Attacks,Professional,2398,EMEA,1
Privilege Misuse,Manufacturing,2937,APAC,1
Social Engineering,Healthcare,773,EMEA,1
System Intrusion,Accommodation,953,NA,4
Miscellaneous Errors,Utilities,397,EMEA,4
System Intrusion,Agriculture,1857,NA,1
Lost and Stolen Assets,Information,2941,EMEA,1
Social Engineering,Information,1069,NA,1
Privilege Misuse,Retail,487,NA,2
Basic Web-API Attacks,Retail,2421,APAC,2
Social Engineering,Manufacturing,2803,LAC,3
System Intrusion,Transportation,386,EMEA,3
Social Engineering,Healthcare,1391,NA,2
Basic Web-API Attacks,Manufacturing,2104,LAC,1
System Intrusion,Utilities,2620,NA,3
Denial of Service (DoS),Transportation,2641,APAC,4
Privilege Misuse,Utilities,2099,APAC,4
Miscellaneous Errors,Accommodation,1320,APAC,5
Privilege Misuse,Wholesale Trade,2538,NA,2
Lost and Stolen Assets,Entertainment,432,EMEA,4
System Intrusion,Public Administration,1086,APAC,5
System Intrusion,Finance,2001,EMEA,2
Denial of Service (DoS),Finance,2979,APAC,2
Miscellaneous Errors,Entertainment,1965,EMEA,2
Miscellaneous Errors,Finance,1996,NA,2
Social Engineering,Accommodation,157,NA,3
Basic Web-API Attacks,Healthcare,2370,EMEA,2
Privilege Misuse,Mining,2902,APAC,2
Privilege Misuse,Public Administration,746,EMEA,3
Lost and Stolen Assets,Real Estate,800,NA,1
Privilege Misuse,Agriculture,1813,APAC,5
Lost and Stolen Assets,Wholesale Trade,374,NA,1
Denial of Service (DoS),Utilities,527,APAC,3
Denial of Service (DoS),Utilities,2992,APAC,2
Miscellaneous Errors,Accommodation,673,APAC,1
Lost and Stolen Assets,Transportation,2515,EMEA,5
Denial of Service (DoS),Entertainment,831,LAC,2
Basic Web-API Attacks,Healthcare,1463,NA,4
Basic Web-API Attacks,Utilities,1343,EMEA,2
Denial of Service (DoS),Retail,692,EMEA,2
Social Engineering,Agriculture,1234,EMEA,1
Miscellaneous Errors,Retail,2492,EMEA,5
Privilege Misuse,Wholesale Trade,2803,EMEA,5
Privilege Misuse,Healthcare,1952,EMEA,5
Privilege Misuse,Manufacturing,2516,EMEA,4
Lost and Stolen Assets,Wholesale Trade,1144,EMEA,4
Basic Web-API Attacks,Healthcare,649,NA,3
Denial of Service (DoS),Healthcare,154,APAC,4
System Intrusion,Public Administration,2690,LAC,1
Denial of Service (DoS),Retail,2986,NA,1
Miscellaneous Errors,Real Estate,1489,EMEA,3
Denial of Service (DoS),Transportation,1983,NA,4
System Intrusion,Healthcare,1968,NA,3
Lost and Stolen Assets,Transportation,1216,EMEA,2
System Intrusion,Retail,1927,NA,5
Basic Web-API Attacks,Professional,677,APAC,5
Denial of Service (DoS),Accommodation,1954,APAC,3
Miscellaneous Errors,Utilities,671,NA,3
Lost and Stolen Assets,Construction,967,EMEA,3
Miscellaneous Errors,Utilities,2941,NA,3
Basic Web-API Attacks,Entertainment,2045,EMEA,4
Privilege Misuse,Transportation,1171,EMEA,2
Lost and Stolen Assets,Accommodation,749,NA,4
Denial of Service (DoS),Information,2242,NA,5
Privilege Misuse,Utilities,1300,EMEA,5
Miscellaneous Errors,Transportation,2760,EMEA,3
Denial of Service (DoS),Utilities,1208,NA,1
System Intrusion,Transportation,2871,APAC,2
Basic Web-API Attacks,Retail,318,APAC,4
System Intrusion,Manufacturing,1026,NA,4
Denial of Service (DoS),Retail,1792,NA,3
Social Engineering,Agriculture,1524,NA,4
Social Engineering,Public Administration,2016,NA,5
Basic Web-API Attacks,Entertainment,1424,NA,5
Denial of Service (DoS),Entertainment,145,NA,3
Social Engineering,Manufacturing,514,APAC,3
Denial of Service (DoS),Public Administration,473,EMEA,4
System Intrusion,Agriculture,1610,APAC,1
Miscellaneous Errors,Transportation,2749,NA,2
Lost and Stolen Assets,Accommodation,2014,APAC,2
Lost and Stolen Assets,Finance,2722,APAC,5
Miscellaneous Errors,Public Administration,1934,LAC,4
Privilege Misuse,Transportation,432,NA,3
Miscellaneous Errors,Utilities,796,NA,1
Miscellaneous Errors,Manufacturing,400,NA,2
Denial of Service (DoS),Entertainment,842,APAC,2
System Intrusion,Mining,1025,NA,3
Privilege Misuse,Accommodation,1354,APAC,4
Lost and Stolen Assets,Information,1057,EMEA,1
System Intrusion,Transportation,1572,EMEA,1
Privilege Misuse,Utilities,1346,NA,1
System Intrusion,Entertainment,2880,EMEA,2
Social Engineering,Agriculture,2616,NA,2
Social Engineering,Administrative,1532,NA,3
Social Engineering,Professional,588,NA,3
Miscellaneous Errors,Public Administration,1232,APAC,2
Miscellaneous Errors,Utilities,1083,EMEA,3
System Intrusion,Wholesale Trade,2941,APAC,4
Denial of Service (DoS),Real Estate,1178,LAC,4
Privilege Misuse,Finance,922,LAC,4
Privilege Misuse,Transportation,324,APAC,1
Denial of Service (DoS),Administrative,2710,EMEA,1
Miscellaneous Errors,Utilities,171,APAC,2
Social Engineering,Real Estate,1401,NA,2
System Intrusion,Agriculture,1342,NA,1
Lost and Stolen Assets,Wholesale Trade,795,APAC,2
Social Engineering,Accommodation,411,EMEA,4
Basic Web-API Attacks,Public Administration,872,APAC,4
Privilege Misuse,Retail,2488,NA,1
Miscellaneous Errors,Agriculture,2932,APAC,2
System Intrusion,Administrative,1974,APAC,3
Denial of Service (DoS),Public Administration,1082,NA,2
Denial of Service (DoS),Manufacturing,2819,APAC,2
Social Engineering,Healthcare,2376,EMEA,2
Miscellaneous Errors,Utilities,1140,NA,2
Basic Web-API Attacks,Transportation,369,EMEA,3
Denial of Service (DoS),Finance,455,NA,4
Social Engineering,Entertainment,2113,APAC,4
Social Engineering,Accommodation,2681,NA,4
Social Engineering,Information,654,EMEA,3
System Intrusion,Utilities,1280,LAC,3
Privilege Misuse,Wholesale Trade,2578,NA,4
Miscellaneous Errors,Retail,435,APAC,5
Privilege Misuse,Finance,172,LAC,5
Social Engineering,Retail,721,NA,4
Social Engineering,Public Administration,2445,LAC,4
Miscellaneous Errors,Agriculture,208,APAC,1
Miscellaneous Errors,Information,194,NA,3
Privilege Misuse,Retail,2348,EMEA,3
Social Engineering,Transportation,802,EMEA,2
Social Engineering,Healthcare,278,APAC,1
Lost and Stolen Assets,Real Estate,2720,EMEA,1
Privilege Misuse,Healthcare,1684,APAC,2
Basic Web-API Attacks,Entertainment,1370,EMEA,1
Miscellaneous Errors,Healthcare,1322,NA,1
Denial of Service (DoS),Public Administration,2618,LAC,4
Basic Web-API Attacks,Transportation,1698,NA,1
Miscellaneous Errors,Entertainment,1989,NA,3
System Intrusion,Information,1494,NA,4
Lost and Stolen Assets,Entertainment,2908,EMEA,5
Basic Web-API Attacks,Transportation,437,APAC,3
Lost and Stolen Assets,Public Administration,1363,NA,4
Lost and Stolen Assets,Utilities,821,EMEA,5
System Intrusion,Manufacturing,442,APAC,5
System Intrusion,Utilities,288,APAC,4
Miscellaneous Errors,Accommodation,1589,NA,4
Lost and Stolen Assets,Utilities,1003,NA,3
Denial of Service (DoS),Utilities,1679,APAC,1
Denial of Service (DoS),Information,2073,LAC,3
Miscellaneous Errors,Retail,1783,NA,2
Basic Web-API Attacks,Public Administration,2920,EMEA,2
System Intrusion,Retail,736,LAC,1
Denial of Service (DoS),Construction,2370,EMEA,1
Lost and Stolen Assets,Real Estate,652,APAC,2
Social Engineering,Public Administration,2534,EMEA,4
Lost and Stolen Assets,Public Administration,114,EMEA,4
System Intrusion,Entertainment,1596,EMEA,1
Social Engineering,Construction,277,APAC,3
Privilege Misuse,Finance,763,NA,5
Basic Web-API Attacks,Entertainment,2228,APAC,2
Privilege Misuse,Public Administration,2240,NA,5
System Intrusion,Manufacturing,2499,EMEA,2
Miscellaneous Errors,Retail,1766,NA,1
Basic Web-API Attacks,Wholesale Trade,2693,NA,1
Denial of Service (DoS),Wholesale Trade,2754,APAC,4
Basic Web-API Attacks,Transportation,1974,APAC,5
Privilege Misuse,Administrative,1804,NA,1
Miscellaneous Errors,Entertainment,1809,NA,1
Miscellaneous Errors,Retail,1487,EMEA,4
Denial of Service (DoS),Manufacturing,2239,APAC,4
Denial of Service (DoS),Transportation,991,NA,4
Social Engineering,Agriculture,2392,EMEA,1
Basic Web-API Attacks,Entertainment,2193,EMEA,1
Privilege Misuse,Transportation,615,LAC,1
Lost and Stolen Assets,Healthcare,1857,EMEA,2
Privilege Misuse,Mining,1890,EMEA,3
System Intrusion,Agriculture,203,EMEA,1
Privilege Misuse,Public Administration,2662,APAC,1
System Intrusion,Retail,1492,NA,4
Privilege Misuse,Healthcare,740,NA,2
System Intrusion,Entertainment,1870,APAC,2
System Intrusion,Public Administration,297,APAC,3
Social Engineering,Construction,2587,EMEA,3
Miscellaneous Errors,Manufacturing,241,NA,4
Miscellaneous Errors,Wholesale Trade,2409,LAC,2
System Intrusion,Retail,2040,APAC,4
Basic Web-API Attacks,Transportation,237,LAC,5
Basic Web-API Attacks,Finance,2595,EMEA,2
Privilege Misuse,Transportation,2549,LAC,2
Lost and Stolen Assets,Transportation,271,EMEA,5
Basic Web-API Attacks,Transportation,510,APAC,1
Social Engineering,Entertainment,1327,APAC,1
Privilege Misuse,Finance,1346,EMEA,4
Social Engineering,Utilities,1529,NA,4
Miscellaneous Errors,Entertainment,2907,EMEA,2
Basic Web-API Attacks,Utilities,1433,NA,2
Privilege Misuse,Construction,905,APAC,2
System Intrusion,Finance,1602,NA,4
Privilege Misuse,Entertainment,1311,EMEA,4
Basic Web-API Attacks,Manufacturing,2915,EMEA,1
Privilege Misuse,Healthcare,120,APAC,4
Denial of Service (DoS),Entertainment,1553,EMEA,5
Basic Web-API Attacks,Utilities,1422,EMEA,2
Privilege Misuse,Manufacturing,738,EMEA,4
Lost and Stolen Assets,Real Estate,2332,NA,5
Basic Web-API Attacks,Transportation,545,NA,3
Privilege Misuse,Transportation,1775,APAC,2
Miscellaneous Errors,Retail,532,EMEA,3
Denial of Service (DoS),Manufacturing,127,EMEA,5
Lost and Stolen Assets,Transportation,315,EMEA,4
System Intrusion,Construction,542,NA,1
Basic Web-API Attacks,Accommodation,2439,NA,1
Social Engineering,Utilities,2152,NA,1
Miscellaneous Errors,Transportation,2401,EMEA,4
Lost and Stolen Assets,Professional,1418,APAC,5
Miscellaneous Errors,Utilities,902,LAC,2
Privilege Misuse,Public Administration,1213,NA,5
Basic Web-API Attacks,Utilities,912,NA,1
Social Engineering,Accommodation,2608,NA,3
Lost and Stolen Assets,Healthcare,948,NA,5
Lost and Stolen Assets,Transportation,2722,APAC,2
System Intrusion,Utilities,2236,APAC,3
Basic Web-API Attacks,Utilities,919,APAC,4
Denial of Service (DoS),Entertainment,934,NA,1
Miscellaneous Errors,Utilities,2006,EMEA,2
Denial of Service (DoS),Public Administration,2048,EMEA,3
Social Engineering,Entertainment,2177,APAC,3
Lost and Stolen Assets,Utilities,310,NA,2
Privilege Misuse,Manufacturing,1382,EMEA,4
Denial of Service (DoS),Information,247,NA,3
Miscellaneous Errors,Utilities,1695,EMEA,3
Social Engineering,Information,1571,APAC,2
Basic Web-API Attacks,Retail,849,LAC,5
Privilege Misuse,Entertainment,1367,APAC,3
System Intrusion,Professional,1260,NA,3
Privilege Misuse,Retail,1346,APAC,1
System Intrusion,Real Estate,915,APAC,4
System Intrusion,Retail,1499,NA,4
Miscellaneous Errors,Manufacturing,504,NA,3
Denial of Service (DoS),Real Estate,596,EMEA,3
Basic Web-API Attacks,Manufacturing,1694,APAC,2
System Intrusion,Real Estate,2008,EMEA,1
Basic Web-API Attacks,Real Estate,1152,NA,5
Denial of Service (DoS),Retail,2008,APAC,1
Lost and Stolen Assets,Utilities,2990,NA,5
Denial of Service (DoS),Entertainment,2957,APAC,5
Social Engineering,Public Administration,451,NA,1
Miscellaneous Errors,Healthcare,310,NA,5
Basic Web-API Attacks,Mining,961,EMEA,4
Denial of Service (DoS),Wholesale Trade,2357,EMEA,5
Miscellaneous Errors,Transportation,298,APAC,2
Denial of Service (DoS),Transportation,2747,EMEA,5
Lost and Stolen Assets,Administrative,132,EMEA,5
Lost and Stolen Assets,Agriculture,530,APAC,1
Miscellaneous Errors,Utilities,769,LAC,3
Basic Web-API Attacks,Agriculture,912,LAC,1
Social Engineering,Entertainment,408,NA,3
Miscellaneous Errors,Finance,663,APAC,2
Basic Web-API Attacks,Finance,2893,EMEA,3
Miscellaneous Errors,Utilities,1134,APAC,2
Social Engineering,Mining,813,APAC,2
Miscellaneous Errors,Accommodation,2848,APAC,5
System Intrusion,Healthcare,2990,NA,1
Social Engineering,Finance,932,EMEA,4
Denial of Service (DoS),Construction,993,NA,2
Miscellaneous Errors,Healthcare,950,APAC,4
Denial of Service (DoS),Entertainment,2096,EMEA,3
Miscellaneous Errors,Healthcare,2229,APAC,3
Denial of Service (DoS),Public Administration,2500,APAC,4
Privilege Misuse,Wholesale Trade,1735,LAC,3
Social Engineering,Wholesale Trade,2315,EMEA,5
System Intrusion,Manufacturing,1375,EMEA,3
Miscellaneous Errors,Administrative,1210,NA,1
Basic Web-API Attacks,Wholesale Trade,804,APAC,3
Lost and Stolen Assets,Administrative,1424,LAC,1
Basic Web-API Attacks,Wholesale Trade,1194,APAC,2
Lost and Stolen Assets,Public Administration,2238,EMEA,4
Miscellaneous Errors,Retail,228,NA,3
Miscellaneous Errors,Wholesale Trade,2553,APAC,5
Privilege Misuse,Transportation,1172,APAC,2
Denial of Service (DoS),Retail,1986,EMEA,3
Miscellaneous Errors,Transportation,2142,EMEA,2
Social Engineering,Retail,1926,NA,3
Basic Web-API Attacks,Retail,541,NA,3
Lost and Stolen Assets,Finance,1633,EMEA,4
Lost and Stolen Assets,Accommodation,948,EMEA,1
Denial of Service (DoS),Administrative,1951,NA,2
Social Engineering,Entertainment,717,NA,1
Social Engineering,Retail,938,APAC,4
Basic Web-API Attacks,Professional,1616,NA,3
Denial of Service (DoS),Utilities,2468,APAC,1
Social Engineering,Utilities,2211,APAC,1
Miscellaneous Errors,Public Administration,898,APAC,2
Privilege Misuse,Public Administration,1891,APAC,1
Basic Web-API Attacks,Entertainment,692,EMEA,2
Privilege Misuse,Finance,1844,APAC,3
Social Engineering,Wholesale Trade,1333,NA,4
Social Engineering,Retail,877,NA,1
System Intrusion,Utilities,1268,NA,2
Basic Web-API Attacks,Professional,144,APAC,2
Social Engineering,Agriculture,2229,NA,2
Privilege Misuse,Transportation,1434,NA,2
Miscellaneous Errors,Transportation,2843,EMEA,3
Social Engineering,Public Administration,2306,EMEA,2
Miscellaneous Errors,Public Administration,1872,NA,5
Miscellaneous Errors,Transportation,2027,APAC,5
Basic Web-API Attacks,Retail,1201,APAC,3
Lost and Stolen Assets,Accommodation,580,APAC,4
Basic Web-API Attacks,Transportation,1682,APAC,1
Denial of Service (DoS),Agriculture,239,EMEA,5
Social Engineering,Mining,1687,EMEA,3
Miscellaneous Errors,Utilities,342,NA,3
Social Engineering,Public Administration,776,EMEA,1
Basic Web-API Attacks,Retail,1664,LAC,2
Lost and Stolen Assets,Entertainment,621,EMEA,1
Basic Web-API Attacks,Public Administration,1178,EMEA,5
Lost and Stolen Assets,Manufacturing,1172,APAC,4
System Intrusion,Information,2056,EMEA,4
Privilege Misuse,Wholesale Trade,559,EMEA,4
System Intrusion,Finance,1128,NA,4
System Intrusion,Finance,1867,NA,4
Social Engineering,Real Estate,2039,NA,3
Privilege Misuse,Construction,2597,EMEA,1
System Intrusion,Retail,1676,NA,2
Privilege Misuse,Accommodation,2103,APAC,3
Lost and Stolen Assets,Entertainment,2004,APAC,1
Lost and Stolen Assets,Accommodation,1718,EMEA,3
Basic Web-API Attacks,Public Administration,820,EMEA,1
Miscellaneous Errors,Utilities,2418,APAC,4
